"lat","lon","depth","starttime","energy","duration","date","day_of_year"
41.08,-122.77,41," 2011-06-03 17:45:00",0," None ",2011-06-03,154
41.1,-122.7,60," 2011-06-03 17:47:30",0," None ",2011-06-03,154
40.59,-122.75,53," 2011-06-03 18:02:30",0," None ",2011-06-03,154
40.77,-122.98,60," 2011-06-03 19:00:00",0," None ",2011-06-03,154
40.8,-122.895,60," 2011-06-03 19:37:30",0," None ",2011-06-03,154
40.9,-122.91,20," 2011-06-03 19:42:30",0," None ",2011-06-03,154
40.91,-122.9,20," 2011-06-03 19:47:30",0," None ",2011-06-03,154
40.935,-122.925,20," 2011-06-03 19:52:30",0," None ",2011-06-03,154
40.93,-122.9,20," 2011-06-03 19:55:00",0," None ",2011-06-03,154
41.1,-123.01,29," 2011-06-03 20:12:30",0," None ",2011-06-03,154
40.99,-122.85,40," 2011-06-03 20:45:00",0," None ",2011-06-03,154
40.84,-122.81,60," 2011-06-03 21:47:30",0," None ",2011-06-03,154
40.58,-122.71,55," 2011-06-03 21:52:30",0," None ",2011-06-03,154
40.86,-123.05,20," 2011-06-03 21:55:00",0," None ",2011-06-03,154
40.82,-122.98,60," 2011-06-03 21:57:30",0," None ",2011-06-03,154
48.94,-124.54,60," 2011-06-03 22:00:00",0," None ",2011-06-03,154
40.79,-122.93,20," 2011-06-03 22:05:00",0," None ",2011-06-03,154
40.79,-122.93,20," 2011-06-03 22:07:30",0," None ",2011-06-03,154
40.75,-122.9,31," 2011-06-03 22:10:00",0," None ",2011-06-03,154
40.78,-122.87,20," 2011-06-03 22:12:30",0," None ",2011-06-03,154
40.785,-122.865,36.5," 2011-06-03 22:15:00",0," None ",2011-06-03,154
40.795,-123.04,31," 2011-06-03 22:17:30",0," None ",2011-06-03,154
40.825,-122.96,20," 2011-06-03 22:25:00",0," None ",2011-06-03,154
40.79,-122.52,60," 2011-06-03 22:42:30",0," None ",2011-06-03,154
40.855,-122.81,54," 2011-06-03 22:45:00",0," None ",2011-06-03,154
40.75,-122.81,30," 2011-06-03 23:05:00",0," None ",2011-06-03,154
40.82,-122.89,38," 2011-06-03 23:07:30",0," None ",2011-06-03,154
40.87,-122.9,20," 2011-06-03 23:12:30",0," None ",2011-06-03,154
40.83,-122.9,31," 2011-06-03 23:15:00",0," None ",2011-06-03,154
